Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:25,03h 50m,19:15,4.1,360,12 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.5,INR 389.13,6 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,2.9,INR 400,15 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,,23:40,04h 20m,04:00,2.1,450,25 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:35,03h 40m,19:15,4.1,INR 360,12 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,03h 25m,19:40,4.2,INR 360,25 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:00,05h 30m,23:30,3.3,400,19 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,04h 00m,00:00,3.4,400,23 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,,,,,,,,
Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),16:45,02h 30m,19:15,4.1,270,12 Seats available
Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,17:00,02h 15m,19:15,4.4,INR 281.36,6 Seats available
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Megha Transport,Bharat Benz NON A/C Seater / Sleeper (2+1),19:30,02h 45m,22:15,3.5,500,37 Seats available
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),18:45,27h 05m,21:50,1.8,428,32 Seats available
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.6,INR 350,9 Seats available
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,07h 30m,03:30,0.0,INR 350,38 Seats available
North Lakhimpur to Sibsagar,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,Sylvan DEE Transport,Non AC Seater (2+1),17:30,12h 00m,05:30,3.3,INR 640,1 Seat available
North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Sylvan DEE Transport,Non AC Seater (2+1),17:30,11h 00m,04:30,3.3,INR 530,1 Seat available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,3.6,INR 550,6 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater (2+1),21:00,07h 00m,04:00,2.3,INR 550,32 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,06h 30m,04:00,2.2,INR 600,28 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,Non AC Seater (2+2),20:00,09h 00m,05:00,2.5,INR 550,13 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Maa Laxmi,NON A/C Seater Push Back (2+1),22:15,07h 15m,05:30,2.0,INR 550,19 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,08h 15m,04:00,2.1,INR 470,28 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),22:40,08h 20m,07:00,0.0,INR 650,9 Seats available
Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati,Deep Travels,Non AC Seater (2+1),17:45,10h 45m,04:30,4.1,INR 650,26 Seats available
Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati,NETWORK TRAVELS,NON A/C Seater (2+1),18:00,10h 00m,04:00,4.5,600,4 Seats available
North Lakhimpur to Dibrugarh,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.4,INR 400,22 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:50,08h 40m,04:30,3.6,INR 470,27 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,09h 00m,05:00,3.6,INR 550,28 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:45,08h 15m,04:00,3.1,INR 550,17 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),18:45,08h 15m,03:00,3.1,INR 600,31 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,Non AC Seater (2+2),19:15,08h 45m,04:00,2.7,INR 550,35 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,J.S. Travels,Non AC Seater (2+1),19:00,09h 00m,04:00,2.7,INR 500,22 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Maa Laxmi,NON A/C Seater Push Back (2+1),17:30,07h 30m,01:00,2.3,INR 550,33 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Neha Travels,NON A/C Sleeper (2+1),17:00,10h 15m,03:15,2.3,INR 650,24 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Neha Travels,NON A/C Seater (2+2),17:15,11h 45m,05:00,0.0,INR 650,33 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:00,07h 30m,01:30,4.0,450,18 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),19:15,06h 15m,01:30,3.3,INR 500,31 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,06h 25m,02:00,4.1,375,16 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,05h 00m,01:00,3.3,450,24 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),20:30,06h 30m,03:00,4.0,INR 500,30 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,06h 45m,03:30,3.7,INR 550,19 Seats available
