Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,719,34 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,09h 30m,06:00,1.0,552,46 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,INR 699,40 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,2.4,522,32 Seats available
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,1.0,INR 699,40 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,09:30,4.5,613,11 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,,,,,,,,
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,,,,,,,,
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:20,11h 30m,07:50,4.8,INR 399,28 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,IntrCity SmartBus,,20:00,11h 45m,07:45,4.6,INR 449,34 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:00,13h 00m,09:00,4.8,INR 399,26 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,12h 45m,10:15,4.6,950,25 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),19:40,12h 35m,08:15,4.6,INR 569,11 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdCity Land Travels,A/C Seater/Sleeper (2+1),20:30,13h 00m,09:30,3.7,585,29 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Zingbus Plus,A/C Sleeper (2+1),22:00,10h 45m,08:45,4.7,684,28 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,13h 00m,11:30,4.4,760,28 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,13h 00m,11:00,4.3,760,22 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,AdCity Land Travels,A/C Seater/Sleeper (2+1),23:00,12h 20m,11:20,3.4,495,25 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 30m,07:00,4.3,950,25 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,13h 00m,06:00,4.2,508,32 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),18:30,13h 40m,08:10,4.4,INR 399,33 Seats available
